ticket_id,description,category,priority
TCK-0001,"My uploaded thesis file keeps getting corrupted after upload and cannot be opened by the reviewing faculty, delaying my submission close to the deadline. Roll No: S23BBSCS4M5982",Portal Technical Issue,High
TCK-0002,Sir I submitted my degree application form but have not received any confirmation email. Please confirm receipt. Roll No: F22BBDOCS1M5889,Degree,Medium
TCK-0003,My semester fee unpaid chalan not shown on portal. Please resolve this issue for payment of remaining semester fees,Fee & Challan,Medium
TCK-0004,"A major water leakage has flooded part of the Department of Zoology server room, threatening to damage critical university IT infrastructure; immediate action is required. Baghdad-ul-Jadeed Campus",Infrastructure / Maintenance,Critical
TCK-0005,What is the process to apply for a duplicate degree certificate?,Degree,Low
TCK-0006,"I have a visa interview tomorrow morning and my experience certificate, promised for today, has still not been issued despite multiple follow-ups this week.",Employee Services,Critical
TCK-0007,"I want to join, please guide how.",Other,Low
TCK-0008,"My admission has been put on hold because my HEC equivalence certificate has not been verified yet, and classes for BS Physical Education & Sports Sciences start this week. Kindly expedite verification urgently.",Admission,High
TCK-0009,What is the fee for issuing a character certificate?,Certificate / Verification,Low
TCK-0010,Kindly guide me on the renewal process for my scholarship for the upcoming semester. Roll No: S24BBSEEN6M5905,Scholarship,Medium
TCK-0011,"Respected Sir, I have applied for my degree and paid the required challan (5,000 Rs) but the status is still showing 'Submitted'. Roll No: F22BPHD2M7916, LLB (5 Years). Kindly update.",Degree,Medium
TCK-0012,Please give me my transcript,Transcript,Low
TCK-0013,"My provident fund withdrawal request, submitted for a medical emergency, has been pending approval for about a week with no update.",Employee Services,High
TCK-0014,Salam sir . Me ny M phil transcript verification k ley 14-07-2026 ko apply kiya r 15-07-2026 ko by post apni original transcript send ki joo k 17 -07-2026 ko university receive ki gae r abi tk meri verificatio nhi hui na hi online status change hua . Jb university sy pta kiya to agy sy answer mila hamen abi tk transcript receive nhi hui . Me ny sari tracking details b de . Ab na to koi call receive krta ha na hi message ka reply krta ha university k offical whatsapp nbr py b details send ki r zearat khan shb ko b lekin abi tk no response . Please mera issue resolve krwaen meri original transcript hai.,Transcript,High
TCK-0015,"Request for repair of the projector in the Department of Physical Education & Sports Sciences lecture hall, Bahawalpur City Campus, which has not been working for two weeks.",Infrastructure / Maintenance,Medium
TCK-0016,How do I add my thesis supervisor's name on the portal?,Thesis,Low
TCK-0017,"My name on the university portal is listed as Hina S, but my official CNIC name is different. Kindly correct my name on the portal. Roll No: F20BMPHIL2M4908",Name Correction,Medium
TCK-0018,"Respected Sir, I have paid the transcript fee (3,500 Rs.) but my transcript is still not showing on the MyIUB portal. Roll No: F21BBAGRI2M9279. Kindly resolve. Regards, Sohail Anwar",Transcript,Medium
TCK-0019,"You can use this short ticket description: My name on the university portal is listed as Muhammad Yahya, but my official CNIC/Shanakhti Card name is Muhammad Yahya Khan. Kindly update my name on the university portal to Muhammad Yahya Khan according to my official record.",Name Correction,Medium
TCK-0020,"My urgent degree application (Application No. 23923) has been pending for a few days even though I applied and paid under the urgent category. I need it for higher studies admission abroad. Name: Hina Shahzadi, Roll No: S25BBSCS1M8962",Degree,High
TCK-0021,in my thiese section it shows error Missing CGPA: Please request your department's exam coordinator to calculate and update your CGPA. Missing Comprehensive Exam Date: Please contact your department's exam coordinator to record your comprehensive exam date.,Thesis,High
TCK-0022,"My thesis section shows an error 'Missing Comprehensive Exam Date'; kindly contact the exam coordinator to update this on my behalf, or guide me on the process. Roll No: F22BBSCS5M7267",Thesis,Medium
TCK-0023,The thesis submission deadline is today at midnight and the upload button has been non-functional for our entire batch since this afternoon. Kindly fix immediately. BS Computer Science,Thesis,Critical
TCK-0024,Kindly change my registered email address on my account as I no longer have access to the old one. Roll No: S24BBDOCS3M7971,Account & Login,Medium
TCK-0025,My scholarship installment for last semester is shown as 'Processing' for a few days now with no further update. Roll No: F21BPHD4M5533,Scholarship,Medium
TCK-0026,Is there an online form for name correction or do I need to visit in person?,Name Correction,Low
TCK-0027,I worked as a Visiting Lecturer from Spring 2022 to Spring 2023 and require my salary slips and an experience certificate for a visa application. Kindly issue at your earliest convenience.,Employee Services,Medium
TCK-0028,My name shows an extra letter on my printed student card. Please correct it before reprinting. Roll No: F24BBSIT3M3749,Name Correction,Medium
TCK-0029,respected sir my educational records are not updated in my profile kindly update them according to my attachments. MCS and MS degrees are attached,Profile Update,Medium
TCK-0030,Can a water cooler be installed near the Department of Zoology building?,Infrastructure / Maintenance,Low
TCK-0031,I would like to lodge a complaint regarding the unhelpful response I received from the Department of Chemistry front desk staff when inquiring about my documents.,Complaint,Medium
