question,answer
What is a fee challan and how do I get it?,A fee challan is a bank payment form. You can download and print it from your student portal under the fee section. You must take this challan to a designated bank to submit your fee.
What is the attendance policy at IUB?,The university requires a minimum attendance percentage (usually 80%) for students to be eligible for the final exam. This policy is strictly enforced by the faculty. Check your course syllabus for the specific requirements.
Does IUB have a sports department?,"Yes, IUB has a dedicated sports department that manages facilities and organizes inter-university and intra-university events. You can find more information on the IUB website or by visiting the sports office."
Who is the Controller of Examinations at IUB?,The Controller of Examinations at IUB is Talib Hussain. The Examination Division can be contacted at 062-9250241 or via email at controller@iub.edu.pk for matters related to exams and transcripts .
What facilities are available in IUB hostels?,"IUB hostels offer dormitory-style rooms with shared bathrooms, kitchens, and common areas, along with free Wi-Fi, lockers, laundry services, and communal kitchens. Some hostels also provide private rooms, basic meals, and recreational activities ."
Who is the Dean of the Faculty of Computing at IUB?,The Dean of the Faculty of Computing at IUB is Prof. Dr. Dost Muhammad Khan .
Who is the Dean of the Faculty of Law?,The Dean of the Faculty of Law is Prof. Dr. Rao Imran Habib .
What is the IUB Helpline Center contact number?,"The IUB Helpline Center can be contacted at 0346-9255555, 0347-9255555, or 062-9255580, and via email at iubhelpline@iub.edu.pk for general university inquiries ."
How are houses allotted to faculty and staff at IUB?,"House allotment for faculty and staff at IUB is done through an online system at my.iub.edu.pk under 'My Apps + House Allotment'. Applicants must obtain a fresh Service Certificate from the Registrar's office and upload a clear copy with their online application. A hard copy of the application must also be submitted through proper channel within the specified deadline. Previously submitted applications are not entertained, so employees must apply afresh for each allotment cycle ."
How can I report plagiarism at IUB?,IUB has a strict anti-plagiarism policy in line with HEC guidelines. You can report incidents of plagiarism by contacting the Directorate of IT via email at ddit@iub.edu.pk or plagiarism@iub.edu.pk .
What is the process for approving Postdoctoral Fellowship applications at IUB?,"Applications are processed and reviewed by the Research Supervisor and shortlisted candidates are interviewed by a committee headed by the Principal Investigator (PI) and co-principal investigator (if any), the Registrar or his nominee, and one Subject Expert ."
What are the eligibility criteria for the Postdoctoral Research Fellowship at IUB?,"Candidates must hold a PhD from an HEC-recognized university and submit a research proposal outlining how they intend to satisfy at least 2 of the 5 defined outcomes. There is no age limit, but preference is given to fresh PhDs. Candidates cannot have availed any previous Postdoctoral Fellowship ."
How many students appeared for the HEC Need-Based Scholarship interviews at IUB?,As many as 1850 students appeared for the interviews conducted by the Directorate of Financial Assistance for the Higher Education Commission (HEC) Need-Based Scholarship program . This demonstrates IUB's commitment to making quality education accessible to deserving students.
What is the role of the Directorate of Financial Assistance at IUB?,"The Directorate of Financial Assistance (DFA) manages all scholarship programs at IUB, including HEC Need-Based, CM's Honhaar Scholarship, PEEF, and other financial aid initiatives. They conduct interviews, select eligible students, and manage payouts under different scholarships. An Information Kiosk for the Honhaar scholarship has been established at Tabish Alwari Building, BJC, IUB, where staff explain benefits and help students apply. IUB has become the first university in South Punjab to provide scholarships worth more than 800 million rupees ."
What is the IUB Anti-Harassment Center and who heads it?,The IUB Anti-Harassment and Discrimination Center is a dedicated facility established to handle harassment complaints. It is headed by a senior female teacher of the university. The center operates under the university's zero-tolerance policy on harassment and follows HEC guidelines for investigating complaints. All information regarding the complaint procedure is available on the university website .
How is the anti-harassment policy implemented across different IUB campuses?,"The anti-harassment policy is implemented uniformly across all IUB campuses. A general notice for 'Strict Observance, Enforcement, Binding & For Compliance / Implementation of Anti-Harassment Act & Policy at IUB' was issued on August 4, 2025. The phone numbers of the anti-harassment committee are displayed at prominent places on all campuses, and the university ensures all information is available on the website ."
What documents are required for the HEC Need-Based Scholarship interview at IUB?,"The documents required at the time of the HEC Need-Based Scholarship interview include: 1. HEC Application Form, 2. Copy of the last Fee Receipt of applicant and siblings, 3. Copy of CNIC (Self, Father, Mother / Guardian), 4. Copy of the Parent's/Guardian's Income Certificate (on Affidavit) / Salary Slip / Pension copy, 5. Copy of Rent Agreement in case of a rented house, 6. Last Month's Utility Bills (Electricity, Gas, Telephone and Water), and 7. Death Certificate / Disability Certificate / Medical Certificate of the Parent/Guardian etc (If applicable)."
How can I report a harassment complaint at IUB?,"IUB has a zero-tolerance policy on harassment. A university center for anti-harassment and discrimination, headed by a senior female teacher, has been established. The phone numbers of the anti-harassment committee are displayed prominently at all campuses, and students can feel free to contact concerned teachers and committee members ."
How many HEC-recognized research journals does IUB publish?,"IUB publishes 23 HEC-accredited research journals, which contributed to the university securing the 2nd position nationwide in HEC Accredited Journals for 2025 ."
What is the significance of the 'National Digital Archive of Research Published in Pakistani Journals' project for IUB researchers?,ORIC IUB organized a one-day training activity in collaboration with the Pakistan Scientific and Technological Centre on the 'Development of National Digital Archive of Research Published in Pakistani Journals' & 'Indexation of Journals in Scopus' . The project aims to create a national digital archive and improve the visibility and indexing of Pakistani research in international databases like Scopus .
What is the purpose of the Research Data Management Policy at IUB?,"The Research Data Management Policy at IUB is designed to ensure that valuable research data are not lost. It provides a basis to answer allegations of research misconduct or questions about results obtained, assists in the protection of intellectual property, and assures auditors and industry that robust academic supervision is in place. Correct data handling can also allow limited access to others for certain datasets, such as in large cohort studies ."
How can I submit a complaint to the GCRC at IUB?,"A user-friendly complaint redressal portal is integrated within the MyIUB platform, empowering students and faculty to electronically submit their grievances using their MyIUB login credentials. A dedicated email address has also been established to facilitate efficient communication between the committee and university stakeholders ."
How can faculty members contribute to IUB's global ranking improvement?,"Faculty can support IUB's global ranking by focusing on high-quality research, publications, and teaching. The Quality Enhancement Cell (QEC) organizes training sessions on 'Strategies to Elevate Ranking of IUB' for faculty members."
When does course registration typically start at IUB?,Course registration dates are announced on the student portal and academic calendar. You should check your student portal and the IUB website at the beginning of each semester for the exact registration schedule.
Where can I find information about the GCRC members and contact details?,"The GCRC has made its constitution, membership details, and contact information available on the university's official website and various social media platforms. Information is also disseminated through official communications, faculty meetings, student orientation programs, and notice boards ."
What is the Women Empowerment Summit at IUB?,"The Women Empowerment Summit 2024 was organized by the IUB Character Building Society and the Directorate of Students Affairs. The event included the NISA Award Ceremony, celebrating women's achievements and contributions to society ."
What is the General Complaint Redressal Committee (GCRC) at IUB?,"The GCRC was established to improve grievance resolution for students and faculty. It operates under Prof. Dr. Saeed Ahmad Buzdar, Incharge Faculty of Physical and Mathematical Sciences, and handles complaints per university regulations within stipulated timeframes ."
Can I appeal a GCRC decision?,GCRC comprehensive Terms of Reference (TORs) develop kar rahi hai jo complaint aur appeal forms ko design karegi. Is se appeal process clear ho jayega .
What are the Terms of Reference (TORs) for the GCRC?,The GCRC is developing comprehensive Terms of Reference (TORs) to provide a detailed explanation of its mandate and scope. These TORs will encompass the design of both online and offline complaint and appeal forms .
