ticket_id,description,category,priority
PR-0001,What is the usual format of the mid-term examination? Regards.,Examination,Low
PR-0002,"Respected Sir/Madam, the Wi-Fi router in one of the blocks has been intermittent for several days; could it be checked? Kindly advise.",Infrastructure / Maintenance,Medium
PR-0003,"My Turnitin account was blocked by mistake and despite raising a complaint almost two weeks ago, it is still blocked, preventing me from submitting my assigned work due by Friday.",Account & Login,High
PR-0004,When I open the fee section on the portal it appears empty and does not load any data. Thank you.,Portal Technical Issue,Medium
PR-0005,"My account keeps logging me out automatically every few minutes, which is a bit inconvenient when filling out forms. Kindly advise.",Account & Login,Medium
PR-0006,"Sir, could you confirm receipt of the documents I submitted for my degree equivalence certification? Kindly help.",Certificate / Verification,Medium
PR-0007,"Hi, what documents are generally required for the final clearance process? Kindly advise.",Clearance,Low
PR-0008,"Sir, how do I log out of the portal properly on a shared computer?",Account & Login,Low
PR-0009,I need an Enrollment Certificate for a scheme application; could this be issued at your earliest convenience? Awaiting your response.,Certificate / Verification,Medium
PR-0010,"Sir, my admission offer will be automatically cancelled at midnight within 24 hours if I do not submit my documents, but the document upload portal is showing a server error for every applicant right now.",Admission,Critical
PR-0011,My educational records are not reflected in my profile despite attaching verified transcripts almost two weeks ago.,Profile Update,Medium
PR-0012,"Kindly note: It has been several weeks since I completed my graduation and I still have not received my degree, which is now delaying a job I was set to start by Friday. Please look into this.",Degree,High
PR-0013,"I paid my urgent degree processing fee of Rs. 8,000 but the transaction has completely vanished from both my bank statement and the portal, and my visa appointment is tomorrow. Thank you.",Fee & Challan,Critical
PR-0014,"Hi, my comprehensive exam date is missing from my record; could this be updated so I can proceed with the next steps? Thank you.",Examination,Medium
PR-0015,"Respected Sir/Madam, my Turnitin account was blocked by mistake and despite raising a complaint about a week ago, it is still blocked, preventing me from submitting my assigned work due by tomorrow morning. Awaiting your response.",Account & Login,High
PR-0016,"Respected Sir/Madam, could a water cooler be installed near the HR Office? Just a small suggestion. Thank you.",Infrastructure / Maintenance,Low
PR-0017,"Sir, i accidentally generated a combined fee voucher for two subjects; could this be split into separate vouchers? Thank you.",Fee & Challan,Medium
PR-0018,"Respected Sir/Madam, how many credit hours can I generally register for in a normal semester? Please look into this.",Course Registration,Low
PR-0019,"I am escalating a critical complaint on behalf of my entire batch — none of our clearance requests have been processed for over a month, and our convocation, requiring proof of clearance, is by Friday. Kindly help.",Complaint,Critical
PR-0020,By mistake I applied for clearance under the wrong semester; could my clearance be reset so I can reapply correctly? Awaiting your response.,Clearance,Medium
PR-0021,"Hi, my account has been completely locked for about a week after a failed password reset, and I am unable to submit my thesis-related forms before the deadline tomorrow.",Account & Login,High
PR-0022,The Wi-Fi router in one of the blocks has been intermittent for several days; could it be checked? Thank you.,Infrastructure / Maintenance,Medium
PR-0023,"None of the 475 students in our batch can log in to the portal since last night, and today is the final date for exam form submission with no extension announced.",Account & Login,Critical
PR-0024,"My clearance is the only thing standing between me and graduation, and my scholarship abroad requires proof of graduation by within 24 hours, but the Directorate of Academics has gone completely silent. Thank you.",Clearance,Critical
PR-0025,"Dear concerned team, the projector in the the Admissions Office lecture hall at Rahim Yar Khan Campus has not been working for a couple of weeks; could this be repaired?",Infrastructure / Maintenance,Medium
