question,answer,status
How can I reset my student portal password?,"Use the official IUB student portal's password recovery option. Follow the verification instructions. If the problem continues, contact the IUB IT Help Desk.",BEST_ANSWER_SELECTED
I forgot my IUB portal password. How can I recover it?,"Visit the student portal login page and click on the 'Forgot Password' link. Follow the instructions to verify your identity. If you face any issues, please contact the IUB IT Help Desk.",BEST_ANSWER_SELECTED
I can't remember my student portal password.,"You can reset your password by using the 'Forgot Password' feature on the IUB student portal login page. After verification, you can set a new password. For further assistance, reach out to the IUB IT Help Desk.",BEST_ANSWER_SELECTED
My IUB portal password isn't working. What should I do?,"First, ensure you are entering the correct username and password. If you still cannot log in, use the 'Forgot Password' option to reset it. If the problem persists, contact the IUB IT Help Desk.",BEST_ANSWER_SELECTED
How can I change my university portal password?,"Log in to your IUB student portal, go to the account settings or profile section, and look for the option to change your password. Follow the on-screen instructions to update it.",BEST_ANSWER_SELECTED
I am locked out of my student account. How can I regain access?,"Your account may be locked after multiple failed login attempts. Please wait for a few minutes or use the 'Forgot Password' option. For immediate help, please contact the IUB IT Help Desk.",BEST_ANSWER_SELECTED
Where can I find the IUB student portal login page?,"The IUB student portal can be accessed through the official university website, usually under a 'Student Portal' or 'Online Services' link. Always ensure you are on the official IUB website.",BEST_ANSWER_SELECTED
How do I log in to the IUB-LMS?,"Go to the official IUB-LMS website. Enter your student ID and the password you use for the student portal. If you have login issues, check the IUB-LMS support page or contact the IT Help Desk.",BEST_ANSWER_SELECTED
I can't log in to my IUB-LMS account. What should I do?,"First, verify your student ID and password. If you have forgotten your password, reset it via the student portal, as the LMS uses the same credentials. For further technical support, contact the IUB IT Help Desk.",BEST_ANSWER_SELECTED
My IUB-LMS is not showing my registered courses.,"New course registrations may take some time to appear in the IUB-LMS. Check your registration status in the student portal. If the courses are missing for more than 24 hours, contact your academic department or the IUB IT Help Desk.",BEST_ANSWER_SELECTED
How do I access my university email account?,You can access your official IUB email account through the university's student portal or by visiting the dedicated email portal. Your login credentials are typically provided upon admission. Check the IUB website for the exact URL.,BEST_ANSWER_SELECTED
I forgot my university email password.,"Use the password recovery option on the university email login page. If you are unable to recover it, contact the IUB IT Help Desk to have your email password reset.",BEST_ANSWER_SELECTED
How can I apply for undergraduate admission at IUB?,Visit the official IUB website and navigate to the admissions section. You will find the online application portal and details about the application procedure for undergraduate programs. Read all instructions carefully before applying.,BEST_ANSWER_SELECTED
What are the requirements for BA admission?,The requirements for BA admission vary by program and are subject to change each year. Please visit the official IUB admissions portal or the relevant department's webpage for the most current and accurate requirements.,BEST_ANSWER_SELECTED
When do admissions open for the next session?,The opening of admissions for the next session is announced on the official IUB website and in newspapers. Check the 'Admissions' section of the university website regularly for the latest updates and announcements.,BEST_ANSWER_SELECTED
What is the last date to apply for admission?,Application deadlines are different for each program and are announced with the admission advertisement. Please check the official IUB admissions portal or the latest admission notice for the exact deadline.,BEST_ANSWER_SELECTED
How do I check my admission merit list?,Merit lists are uploaded on the official IUB website under the admissions section. You will need your application number or CNIC to view your result. Check the specific portal for your program.,BEST_ANSWER_SELECTED
Where can I view the entry test schedule?,The schedule for entry tests is announced on the IUB website and through the official admission office. Please keep checking the admissions page or your student portal for the test schedule and updates.,BEST_ANSWER_SELECTED
Is there an entry test for the English department?,Whether a department requires an entry test is decided by the university and the department. Please check the specific admission criteria for the English department on the IUB website or contact the department directly.,BEST_ANSWER_SELECTED
How do I apply for a PhD program at IUB?,"Visit the IUB website and go to the admissions section for graduate and PhD programs. The online application will require you to upload your research proposal, academic documents, and other necessary information.",BEST_ANSWER_SELECTED
What documents are required for the admission form?,"The specific documents required depend on the program. Generally, you will need your educational certificates, CNIC/B-Form, passport-sized photographs, and a character certificate. Always check the official admission checklist for your specific program.",BEST_ANSWER_SELECTED
Can I submit my admission form after the deadline?,The university strictly follows deadlines for admission forms. Late applications are generally not accepted. Check the official admission policy on the IUB website for any possible exceptions or guidance.,BEST_ANSWER_SELECTED
How can I check my admission status?,"You can check your admission status by logging into the online admissions portal on the IUB website. The status may show as 'Submitted', 'In Process', 'Selected', or 'Rejected'. Official results will also be published on the website.",BEST_ANSWER_SELECTED
I am confused about the application procedure.,"The application procedure is clearly outlined in the 'How to Apply' section on the official IUB admissions portal. Please read the instructions there carefully. For further clarification, you can contact the Directorate of Admissions.",BEST_ANSWER_SELECTED
What are the eligibility criteria for a Master's program?,Eligibility criteria for Master's programs are specific to each department and are published in the university prospectus or on the IUB website. The criteria usually require a relevant Bachelor's degree with a minimum CGPA.,BEST_ANSWER_SELECTED
How many programs does IUB offer?,"The Islamia University of Bahawalpur offers a wide range of undergraduate, graduate, and postgraduate programs across various faculties. For a complete and up-to-date list of all degree programs, please refer to the official IUB website.",BEST_ANSWER_SELECTED
How can I see the list of courses for my program?,You can find the list of courses for your program in your department's website or the official university prospectus. The course outline is also usually available on your IUB-LMS account.,BEST_ANSWER_SELECTED
What is the procedure for course registration?,Course registration is typically done online via the student portal during the specified registration period. You will select your courses for the semester and submit the form. Check your student portal for the exact dates and guidelines.,BEST_ANSWER_SELECTED
Can I add or drop a course after registration?,"There is a specific 'Add/Drop' period announced on the academic calendar. During this time, you can add or drop courses through your student portal without a penalty. After this period, changes may not be permitted.",BEST_ANSWER_SELECTED
How do I withdraw from a course?,"To withdraw from a course, you must submit a 'Course Withdrawal' form to the registrar's office within the specified deadline. A 'W' grade will appear on your transcript. Late withdrawals are generally not accepted.",BEST_ANSWER_SELECTED
What does a 'W' grade on my transcript mean?,A 'W' grade stands for 'Withdrawal'. It indicates that you officially dropped a course after the add/drop period but before the withdrawal deadline. It does not affect your GPA but may have financial implications.,BEST_ANSWER_SELECTED
Who is my academic advisor?,"Your academic advisor is usually a faculty member from your department. You can find your advisor's name in your student portal, on your department's website, or by asking at the department office.",BEST_ANSWER_SELECTED
How can I contact my academic advisor?,You can contact your academic advisor via their university email address or by visiting them during their office hours. The office hours are typically listed on the department website or notice board.,BEST_ANSWER_SELECTED
What is the academic calendar for this semester?,"The official academic calendar is available on the IUB website. It contains important dates including the start of classes, exam schedules, holidays, and registration deadlines. Always refer to this calendar for the most accurate information.",BEST_ANSWER_SELECTED
Where can I find my exam schedule?,"Your exam schedule is announced and published on the official IUB website and your student portal. You can also check the notice board of your department. The schedule includes the date, time, and venue for each exam.",BEST_ANSWER_SELECTED
What happens if I miss a paper?,"If you miss an exam due to an unforeseen emergency, you must immediately inform your department and the controller of examinations office. A make-up exam may be allowed at the discretion of the university if a valid reason is provided.",BEST_ANSWER_SELECTED
How do I get my exam rechecked or re-evaluated?,"To request a recheck or re-evaluation of your exam paper, submit a formal application to the Controller of Examinations office within the prescribed time frame after the results are announced. A fee may be required.",BEST_ANSWER_SELECTED
Can I appeal my exam grade?,"Yes, you have the right to appeal your exam grade. The procedure typically involves submitting a written appeal to your department and the Controller of Examinations. Check the university policy for the specific grade appeal process.",BEST_ANSWER_SELECTED
When will the exam results be announced?,The dates for exam result announcements vary by faculty and semester. The university announces results on its official website and student portal. Keep checking the exam section on the IUB website for the latest updates.,BEST_ANSWER_SELECTED
Where can I see my semester result?,You can view your semester result by logging into your student portal. The official result is also published on the IUB website and the departmental notice boards. Your transcript will be available for download after official announcement.,BEST_ANSWER_SELECTED
What is the passing percentage for a course?,The passing percentage or grade for a course is determined by the university and is mentioned in the course outline or syllabus. The minimum grade required to pass a course is typically a 'C' or equivalent.,BEST_ANSWER_SELECTED
What happens if I fail a course?,"If you fail a course, you will need to repeat it the next time it is offered. The failed grade will be included in your CGPA calculation, but your transcript will show both the failed grade and the repeat grade.",BEST_ANSWER_SELECTED
How is my CGPA calculated?,Your CGPA is the cumulative grade point average of all your courses. It is calculated by dividing the total credit hours by the total grade points earned. The exact formula is explained in the university academic regulations.,BEST_ANSWER_SELECTED
What is academic probation?,"Academic probation is a warning given to a student whose CGPA falls below the minimum required standard, typically 2.0. You will be on probation for a semester. If you fail to improve your CGPA, further action may be taken.",BEST_ANSWER_SELECTED
How can I get a scholarship?,"Scholarships at IUB are awarded based on merit and financial need. Check the official IUB website or the Financial Aid Office for information on available scholarships, their criteria, and the application process.",BEST_ANSWER_SELECTED
When is the fee submission deadline?,Fee submission deadlines vary by semester and are announced on the student portal and the university website. You will receive a notice on your student portal as well. Always pay by the deadline to avoid a late fee or financial hold.,BEST_ANSWER_SELECTED
How do I pay my semester fee?,You can pay your semester fee by generating a challan from your student portal. The challan can be paid at designated bank branches. Online payment methods may also be available. Check the portal for the latest instructions.,BEST_ANSWER_SELECTED
I paid my fee but my account still shows a financial hold. What should I do?,"Financial holds can take a few days to clear after payment. Please keep your challan receipt as proof. If the hold is not lifted within a week, contact the Treasurer's office with your payment receipt for assistance.",BEST_ANSWER_SELECTED
What is a fee challan and how do I get it?,A fee challan is a bank payment form. You can download and print it from your student portal under the fee section. You must take this challan to a designated bank to submit your fee.,BEST_ANSWER_SELECTED
How can I request a fee refund?,"If you are eligible for a fee refund, you must submit a formal application to the Treasurer's office. The refund policy is detailed in the university rules. Contact the accounts office for the specific procedure.",BEST_ANSWER_SELECTED
Does IUB have fee installments?,Information about fee installments is not always available. Please check the official IUB website or contact the treasurer's office for the current policy on installments or payment plans for tuition fees.,BEST_ANSWER_SELECTED
I want to apply for a hostel. What is the procedure?,Hostel admissions are announced and processed online through the student portal. You must fill out an application during the specified hostel admission period. The allocation is usually based on merit and availability.,BEST_ANSWER_SELECTED
How are hostel rooms allocated?,Hostel room allocation is typically done by the Directorate of Students Affairs. It is often based on the student's academic merit and distance from their home. The allocation list is displayed on the hostel notice boards and website.,BEST_ANSWER_SELECTED
What are the hostel rules and regulations?,"Hostel rules are designed to ensure the safety and discipline of all residents. These rules cover timings, guest policy, room usage, and conduct. You can read the complete set of rules in the hostel handbook provided upon admission.",BEST_ANSWER_SELECTED
How do I report a hostel maintenance issue?,"You can report a maintenance issue (e.g., broken fan, plumbing) to the hostel warden or the maintenance office in your hostel. Some hostels may also have an online complaint system. Fill out the complaint form with the details.",BEST_ANSWER_SELECTED
Where do I file a hostel complaint?,"You can file a complaint with the hostel warden or the Directorate of Students Affairs. Provide a clear written description of your complaint. If it is about facilities, contact the hostel maintenance office directly.",BEST_ANSWER_SELECTED
I want to change my hostel room. How can I do that?,"Room changes are generally not allowed without a valid reason. To request a room change, submit a written application to the hostel warden explaining your reason. It is usually permitted only in special circumstances.",BEST_ANSWER_SELECTED
When is the last date for hostel admission?,Hostel admission deadlines are announced on the IUB website and the student portal. The dates differ for each semester. Make sure to check the official announcement for the exact deadline.,BEST_ANSWER_SELECTED
Do hostels provide Wi-Fi?,"Most IUB hostels are equipped with Wi-Fi facilities. For any connectivity issues, you should contact the hostel IT support or the warden's office. The exact quality of service may vary.",BEST_ANSWER_SELECTED
What are the hostel fee charges?,Hostel fees vary depending on the type of room and hostel. The exact fee structure is announced during the hostel admission process. Check your student portal or the hostel admission notice for the current rates.,BEST_ANSWER_SELECTED
