ticket_id,description,category,priority
PR-1050,What is the usual format of the mid-term examination? Please look into this.,Examination,Low
PR-1006,"Dear concerned team, the portal loads a little slowly on mobile sometimes; just wanted to mention it, not urgent.",Portal Technical Issue,Low
PR-0296,"Hi, the result declaration system crashed for the entire batch of 554 students just minutes before the scheduled announcement time, and everyone is waiting anxiously. Awaiting your response.",Result,Critical
PR-0553,Just wanted to confirm the general thesis submission format guidelines. Kindly advise.,Thesis,Low
PR-1023,When I open the fee section on the portal it appears empty and does not load any data. Please look into this.,Portal Technical Issue,Medium
PR-0305,"Dear concerned team, i was declared eligible on the merit list for BS Software Engineering but my admission fee challan is not generating, and within 24 hours is the last date to pay and confirm my seat.",Admission,High
PR-1398,"Sir, my credit transfer approval, required by Friday to secure my admission abroad before their deadline expires, has still not been processed despite three urgent escalations this week. Thank you.",Other,Critical
PR-0989,"Kindly note: My thesis defense is in two days and the portal will not let me download my approved supervisor sign-off, without which the committee will not allow me to defend. Please look into this.",Thesis,Critical
PR-0319,I would like to request my monthly payslip copies for the last few months for my personal records. Regards.,Employee Services,Medium
PR-0491,"Sir, there is a spelling mistake in my name on my student portal record; my correct name is Iqra Bibi. Could this be corrected? Thank you.",Name Correction,Medium
TCK-0415,How can I request a bonafide/enrollment certificate from the university?,Certificate / Verification,Low
TCK-0285,My thesis file was rejected by the portal for an unspecified reason and the resubmission deadline is in two days; I need urgent guidance. Roll No: S24BBDATS1M8237,Thesis,High
PR-0736,"Dear concerned team, there is an unusual, time-sensitive situation affecting hundreds of students across multiple departments that doesn't fit any specific category, and it needs immediate institutional attention today.",Other,Critical
TCK-0028,My name shows an extra letter on my printed student card. Please correct it before reprinting. Roll No: F24BBSIT3M3749,Name Correction,Medium
PR-1551,Kindly note: I need my final transcript urgently as I am applying for a Master's program abroad and the application portal closes by Friday. Kindly help.,Transcript,High
PR-0871,"The payroll system for the entire faculty has failed this cycle and salaries have not been disbursed to anyone, with rent and utility deadlines due this week for many staff members. Awaiting your response.",Employee Services,Critical
PR-1187,"My admission offer will be automatically cancelled at midnight by Friday if I do not submit my documents, but the document upload portal is showing a server error for every applicant right now. Please look into this.",Admission,Critical
TCK-0459,*As-Salaam-Alaikum* By mistakenly I apply for clearance for ADP I’ll apply after my 4th semester result need to Reset My clearance Portion Thanks,Clearance,Medium
TCK-0117,I need to update my CNIC number on my submitted admission application form; the system does not allow edits. Please assist.,Admission,Medium
